IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","Nginx End of Life (EOL) Detection","The Nginx version on the remote host has reached the End of
  Life (EOL) and should not be used anymore.","The ""Nginx"" version on the remote host has reached the end of life.

CPE:               cpe:/a:nginx:nginx:1.12.2
Installed version: 1.12.2
Location/URL:      80/tcp
EOL version:       1.12
EOL date:          2018-04-17
",1.3.6.1.4.1.25623.1.0.148940,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,c77bd1fa-0cb1-4871-91e4-1fa579048f15,"An EOL version of Nginx is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update the Nginx version on the remote host to a still
  supported version.","","","Checks if an EOL version is present on the target host.
Details:
Nginx End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.148940)
Version used: 2025-04-15T05:54:49Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","nginx < 1.13.6 Buffer Overflow Vulnerability","nginx is prone to a buffer overflow vulnerability.","Installed version: 1.12.2
Fixed version:     1.13.6
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117471,"CVE-2017-20005",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,6d55016d-a90c-4eba-ad25-93b8831ed650,"","Update to version 1.13.6 or later.","nginx before version 1.13.6.","The buffer overflow exists for years that exceed four digits, as
  demonstrated by a file with a modification date in 1969 that causes an integer overflow (or a
  false modification date far in the future), when encountered by the autoindex module.","Checks if a vulnerable version is present on the target host.
Details:
nginx < 1.13.6 Buffer Overflow Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117471)
Version used: 2021-08-17T14:01:00Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2024-2681,DFN-CERT-2021-1226",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,7.8,High,30,"VendorFix","Nginx Multiple Vulnerabilities (Oct 2022)","Nginx is prone to multiple vulnerabilities.","Installed version: 1.12.2
Fixed version:     1.22.1/1.23.2
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.126185,"CVE-2022-41741,CVE-2022-41742",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,ba8fd07e-36b7-4b8f-8dc4-8158b0facf10,"","Update to version 1.22.1, 1.23.2 or later.","Nginx versions 1.0.7 and later, 1.1.3 and later.

  Note: The issues only affect nginx if it is built with the ngx_http_mp4_module which is not built
  by default, and the mp4 directive is used in the configuration file.","The following vulnerabilities exist:

  - CVE-2022-41741: Attacker can cause a worker process crash or worker process memory corruption by
  using a specially crafted mp4 file.

  - CVE-2022-41742: Attacker can cause a worker process crash or worker process memory disclosure by
  using a specially crafted mp4 file.","Checks if a vulnerable version is present on the target host.
Details:
Nginx Multiple Vulnerabilities (Oct 2022)
(OID: 1.3.6.1.4.1.25623.1.0.126185)
Version used: 2023-10-19T05:05:21Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2025-1244,DFN-CERT-2024-2681,DFN-CERT-2022-2662,DFN-CERT-2022-2328,WID-SEC-2024-1591,WID-SEC-2022-1803",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,7.7,High,30,"VendorFix","nginx 0.6.18 - 1.20.0 1-byte Memory Overwrite Vulnerability","nginx is prone to a 1-byte memory overwrite vulnerability.","Installed version: 1.12.2
Fixed version:     1.20.1/1.21.0
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117455,"CVE-2021-23017",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,a492038b-5536-4380-a8aa-f6efa4218374,"","Update to version 1.20.1, 1.21.0 or later.","nginx version 0.6.18 through 1.20.0.

  Note: The issue only affects nginx if the 'resolver' directive is used in the configuration file.
  Further, the attack is only possible if an attacker is able to forge UDP packets from the DNS
  server.","A security issue in nginx resolver was identified, which might
  allow an attacker to cause 1-byte memory overwrite by using a specially crafted DNS response,
  resulting in worker process crash or, potentially, in arbitrary code execution.","Checks if a vulnerable version is present on the target host.
Details:
nginx 0.6.18 - 1.20.0 1-byte Memory Overwrite Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117455)
Version used: 2022-09-15T10:11:07Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2024-2681,DFN-CERT-2022-1571,DFN-CERT-2021-2403,DFN-CERT-2021-2216,DFN-CERT-2021-2167,DFN-CERT-2021-1164,DFN-CERT-2021-1146,WID-SEC-2022-1308,WID-SEC-2022-0676,WID-SEC-2022-0624,WID-SEC-2022-0623,WID-SEC-2022-0463,CB-K21/1268,CB-K21/0925",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,7.5,High,30,"VendorFix","nginx 1.9.5 < 1.14.1, 1.15.x < 1.15.6 Multiple Vulnerabilities","Two security issues were identified in the nginx HTTP/2 implementation,
  which might cause excessive memory consumption and CPU usage.","Installed version: 1.12.2
Fixed version:     1.14.1
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.112419,"CVE-2018-16843,CVE-2018-16844",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,aedc6b00-768c-477b-a45e-39098df8cb3d,"","Update nginx to version 1.14.1 or 1.15.6 respectively.","nginx versions 1.9.5 up to 1.14.0 and 1.15.x up to 1.15.5.","The issues affect nginx compiled with the ngx_http_v2_module (not
  compiled by default) if the 'http2' option of the 'listen' directive is
  used in a configuration file.","Checks if a vulnerable version is present on the target host.
Details:
nginx 1.9.5 < 1.14.1, 1.15.x < 1.15.6 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.112419)
Version used: 2023-07-20T05:05:18Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2021-1966,DFN-CERT-2019-1860,DFN-CERT-2018-2417,DFN-CERT-2018-2266",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,7.5,High,30,"WillNotFix","nginx <= 1.21.1 Information Disclosure Vulnerability","nginx is prone to an information disclosure vulnerability.","Installed version: 1.12.2
Fixed version:     None
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.117523,"CVE-2013-0337",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,25c66fe9-9884-45f2-bc60-0504fce787b4,"","No known solution was made available for at least one year since
  the disclosure of this vulnerability. Likely none will be provided anymore. General solution options
  are to upgrade to a newer release, disable respective features, remove the product or replace the
  product by another one.","nginx up to the most recent version 1.21.1.","The default configuration of nginx uses world-readable
  permissions for the access.log and error.log files, which allows local users to obtain sensitive
  information by reading the files.","Checks if a vulnerable version is present on the target host.
Details:
nginx <= 1.21.1 Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117523)
Version used: 2022-08-08T10:24:51Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2013-0474",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,7.5,High,30,"VendorFix","nginx 1.9.5 - 1.17.2 HTTP/2 Multiple DoS Vulnerabilities","nginx is prone to multiple denial of service (DoS)
  vulnerabilities in the HTTP/2 implementation.","Installed version: 1.12.2
Fixed version:     1.16.1
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.142802,"CVE-2019-9511,CVE-2019-9513,CVE-2019-9516",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,06014d5a-98a2-464e-81d8-03b195d2e6b6,"","Update to version 1.16.1, 1.17.3 or later.","nginx versions 1.9.5 through 1.17.2.","Several security issues were identified in nginx HTTP/2
  implementation, which might cause excessive memory consumption and CPU usage (CVE-2019-9511,
  CVE-2019-9513, CVE-2019-9516).","Checks if a vulnerable version is present on the target host.
Details:
nginx 1.9.5 - 1.17.2 HTTP/2 Multiple DoS Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.142802)
Version used: 2023-10-06T16:09:51Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2024-2222,DFN-CERT-2024-1105,DFN-CERT-2021-0776,DFN-CERT-2021-0620,DFN-CERT-2020-2090,DFN-CERT-2020-1653,DFN-CERT-2020-1060,DFN-CERT-2020-0956,DFN-CERT-2020-0920,DFN-CERT-2020-0779,DFN-CERT-2020-0640,DFN-CERT-2020-0630,DFN-CERT-2020-0595,DFN-CERT-2020-0054,DFN-CERT-2019-2508,DFN-CERT-2019-2456,DFN-CERT-2019-2169,DFN-CERT-2019-2155,DFN-CERT-2019-2138,DFN-CERT-2019-2072,DFN-CERT-2019-1930,DFN-CERT-2019-1888,DFN-CERT-2019-1860,DFN-CERT-2019-1727,DFN-CERT-2019-1703,DFN-CERT-2019-1690,DFN-CERT-2019-1689,WID-SEC-2024-1926,WID-SEC-2024-1050,CB-K19/0733",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,6.1,Medium,30,"VendorFix","nginx 1.1.3 - 1.15.5 Denial of Service and Memory Disclosure via mp4 module","A security issue was identified in the ngx_http_mp4_module, which might
  allow an attacker to cause infinite loop in a worker process, cause a worker process crash, or might result
  in worker process memory disclosure by using a specially crafted mp4 file.","Installed version: 1.12.2
Fixed version:     1.15.6
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.112420,"CVE-2018-16845",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,3ec8813f-5900-4ba5-8cd8-15a671cdcf98,"","Update nginx to version 1.15.6 or later.","nginx versions 1.1.3 through 1.15.5.","The issue only affects nginx if it is built with the ngx_http_mp4_module
  (the module is not built by default) and the 'mp4' directive is used in the configuration file. Further,
  the attack is only possible if an attacker is able to trigger processing of a specially crafted mp4 file
  with the ngx_http_mp4_module.","Checks if a vulnerable version is present on the target host.
Details:
nginx 1.1.3 - 1.15.5 Denial of Service and Memory Disclosure via mp4 module
(OID: 1.3.6.1.4.1.25623.1.0.112420)
Version used: 2023-07-20T05:05:18Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2024-2681,DFN-CERT-2021-1966,DFN-CERT-2020-2090,DFN-CERT-2019-1860,DFN-CERT-2018-2417,DFN-CERT-2018-2266",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,5.3,Medium,30,"VendorFix","nginx 0.7.12 < 1.17.7 HTTP Request Smuggling Vulnerability","nginx, with certain error_page configurations, allows HTTP request smuggling,
  as demonstrated by the ability of an attacker to read unauthorized web pages in environments where nginx is
  being fronted by a load balancer.","Installed version: 1.12.2
Fixed version:     1.17.7
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.143351,"CVE-2019-20372",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,ea364430-cfd7-4150-8f3b-1a4d13c3d13f,"","Update to version 1.17.7 or later.","nginx versions 0.7.12 - 1.17.6.","","Checks if a vulnerable version is present on the target host.
Details:
nginx 0.7.12 < 1.17.7 HTTP Request Smuggling Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.143351)
Version used: 2021-07-08T02:00:55Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2024-2681,DFN-CERT-2022-0084,DFN-CERT-2021-1966,DFN-CERT-2020-0067,WID-SEC-2024-3320,WID-SEC-2023-2481",""
172.31.1.12,nginx112.trabalho_vulnnet,80,tcp,4.7,Medium,30,"VendorFix","Nginx 1.5.13 - 1.27.0 Buffer Overread Vulnerability","Nginx is prone to a buffer overread in the
  ngx_http_mp4_module.","Installed version: 1.12.2
Fixed version:     1.26.2
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114764,"CVE-2024-7347",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:39:41Z,f3a316b2-d349-4413-952f-78de0a4b0092,"Traffic is disrupted while the worker process restarts. This
  vulnerability allows a local, authenticated attacker to cause a denial-of-service (DoS).","Update to version 1.26.2, 1.27.1 or later.","Nginx versions 1.5.13 through 1.27.0.","The product has a vulnerability in the ngx_http_mp4_module,
  which might allow an attacker to over-read worker memory resulting in its termination, using a
  specially crafted mp4 file. The issue only affects the product if it is built with the
  ngx_http_mp4_module and the mp4 directive is used in the configuration file. Additionally, the
  attack is possible only if an attacker can trigger the processing of a specially crafted mp4 file
  with the ngx_http_mp4_module.","Checks if a vulnerable version is present on the target host.
Details:
Nginx 1.5.13 - 1.27.0 Buffer Overread Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.114764)
Version used: 2025-09-08T05:38:50Z
","Product: cpe:/a:f5:nginx:1.12.2
Method: nginx Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.113787)
","","DFN-CERT-2025-1244,DFN-CERT-2025-0748,DFN-CERT-2025-0267,DFN-CERT-2024-2149,WID-SEC-2024-1863",""
