IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.102,memcached14.trabalho_vulnnet,11211,udp,7.5,High,30,"VendorFix","Memcached < 1.5.17 DoS Vulnerability","Memcached is prone to a denial of service (DoS) vulnerability.","Installed version: 1.4.39
Fixed version:     1.5.17

",1.3.6.1.4.1.25623.1.0.142840,"CVE-2019-15026",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,a54ddaa2-5f05-4df9-a5c5-c05d8a09a1c3,"","Update to version 1.5.17 or later.","Memcached prior to 1.5.17.","Memcached 1.5.16 has a stack-based buffer over-read in
  conn_to_str in memcached.c when UNIX sockets are used.","Checks if a vulnerable version is present on the target host.
Details:
Memcached < 1.5.17 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142840)
Version used: 2021-08-30T10:01:19Z
","","","DFN-CERT-2020-0954,DFN-CERT-2020-0838,DFN-CERT-2020-0684,DFN-CERT-2019-1866",""
172.31.1.102,memcached14.trabalho_vulnnet,11211,tcp,7.5,High,30,"VendorFix","Memcached < 1.5.14 DoS Vulnerability","Memcached is prone to a denial of service (DoS) vulnerability.","Installed version: 1.4.39
Fixed version:     1.5.14

",1.3.6.1.4.1.25623.1.0.140211,"CVE-2019-11596",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,26fbeef5-ca3c-4258-8300-6074ea3dd4ac,"","Update to version 1.5.14 or later.","Memcached prior to 1.5.14.","A NULL pointer dereference was found in the 'lru mode' and
  'lru temp_ttl' commands. This causes a denial of service when parsing crafted lru command messages
  in process_lru_command in memcached.c.","Checks if a vulnerable version is present on the target host.
Details:
Memcached < 1.5.14 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.140211)
Version used: 2021-08-30T10:01:19Z
","Product: cpe:/a:memcached:memcached:1.4.39
Method: Memcached Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.800714)
","","DFN-CERT-2020-0954,DFN-CERT-2020-0838,DFN-CERT-2020-0684,DFN-CERT-2019-0870,CB-K19/0372",""
172.31.1.102,memcached14.trabalho_vulnnet,11211,tcp,7.5,High,30,"VendorFix","Memcached < 1.5.17 DoS Vulnerability","Memcached is prone to a denial of service (DoS) vulnerability.","Installed version: 1.4.39
Fixed version:     1.5.17

",1.3.6.1.4.1.25623.1.0.142840,"CVE-2019-15026",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,4a8ae71f-be8b-4d4a-8eb5-6588c3d2b1a6,"","Update to version 1.5.17 or later.","Memcached prior to 1.5.17.","Memcached 1.5.16 has a stack-based buffer over-read in
  conn_to_str in memcached.c when UNIX sockets are used.","Checks if a vulnerable version is present on the target host.
Details:
Memcached < 1.5.17 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142840)
Version used: 2021-08-30T10:01:19Z
","Product: cpe:/a:memcached:memcached:1.4.39
Method: Memcached Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.800714)
","","DFN-CERT-2020-0954,DFN-CERT-2020-0838,DFN-CERT-2020-0684,DFN-CERT-2019-1866",""
172.31.1.102,memcached14.trabalho_vulnnet,11211,udp,7.5,High,30,"VendorFix","Memcached < 1.5.14 DoS Vulnerability","Memcached is prone to a denial of service (DoS) vulnerability.","Installed version: 1.4.39
Fixed version:     1.5.14

",1.3.6.1.4.1.25623.1.0.140211,"CVE-2019-11596",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,1728ccfc-47c1-414e-8757-879ecf30b9c8,"","Update to version 1.5.14 or later.","Memcached prior to 1.5.14.","A NULL pointer dereference was found in the 'lru mode' and
  'lru temp_ttl' commands. This causes a denial of service when parsing crafted lru command messages
  in process_lru_command in memcached.c.","Checks if a vulnerable version is present on the target host.
Details:
Memcached < 1.5.14 DoS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.140211)
Version used: 2021-08-30T10:01:19Z
","","","DFN-CERT-2020-0954,DFN-CERT-2020-0838,DFN-CERT-2020-0684,DFN-CERT-2019-0870,CB-K19/0372",""
172.31.1.102,memcached14.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 1370763118
Packet 2: 1370764231
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,1e2e54ae-2f1b-4d3b-8333-5c0f4a57daa9,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.102,memcached14.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,6372fecc-3064-4273-8d43-516034593bb0,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
172.31.1.102,memcached14.trabalho_vulnnet,,,0.0,Log,80,"","CPE Inventory","This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.","172.31.1.102|cpe:/a:memcached:memcached:1.4.39
172.31.1.102|cpe:/o:linux:kernel

",1.3.6.1.4.1.25623.1.0.810002,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,86e203c8-a130-460d-ae37-915aca8d3927,"","","","","
Details:
CPE Inventory
(OID: 1.3.6.1.4.1.25623.1.0.810002)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.31.1.102,memcached14.trabalho_vulnnet,11211,tcp,0.0,Log,80,"","Memcached Detection (TCP)","TCP based detection of Memcached.","Detected Memcached

Version:       1.4.39
Location:      11211/tcp
CPE:           cpe:/a:memcached:memcached:1.4.39

Concluded from version/product identification result:
VERSION 1.4.39
",1.3.6.1.4.1.25623.1.0.800714,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,d507a8bc-5f11-4244-b720-8c50359083a5,"","","","","
Details:
Memcached Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.800714)
Version used: 2021-04-14T13:21:59Z
","","","",""
172.31.1.102,memcached14.trabalho_vulnnet,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 172.31.1.102:

Hostname|Source
memcached14.trabalho_vulnnet|Reverse-DNS
",1.3.6.1.4.1.25623.1.0.108449,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,9c2955fe-2b8d-4844-8e57-4bfdc1ba5470,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
172.31.1.102,memcached14.trabalho_vulnnet,,,0.0,Log,80,"","OS Detection Consolidation and Reporting","This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum.","Best matching OS:

OS:           Linux Kernel
CPE:          cpe:/o:linux:kernel
Found by VT:  1.3.6.1.4.1.25623.1.0.102002 (Operating System (OS) Detection (ICMP))
Concluded from ICMP based OS fingerprint
Setting key ""Host/runs_unixoide"" based on this information
",1.3.6.1.4.1.25623.1.0.105937,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:31:47Z,149a8ac3-d8be-400c-8fdb-03fa75414a51,"","","","","
Details:
OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
Version used: 2026-01-21T05:50:46Z
","","","",""
